value,date,geotrack,type_size,__name__,app,demo,job,repo,time_stamp
3,2022-09-11,MYPSG,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.5,2022-09-11,MYPSG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1,2022-09-11,PYASU,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.5,2022-09-11,TWKSG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
4.833333333333333,2022-09-11,TZDAR,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
10.8,2022-09-11,USBAL,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
3,2022-09-11,USIAH,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1,2022-09-11,USILM,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.5,2022-09-11,USMOB,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1,2022-09-11,USORF,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1,2022-09-11,USWOR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.25,2022-09-11,UYMVD,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.25,2022-09-11,VEGUT,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
12.166666666666666,2022-09-11,VNHAI,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1,2022-09-11,ZAJNB,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.6666666666666665,2022-09-12,ALDRR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
19.2,2022-09-12,BDCGP,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.4,2022-09-12,BDDAC,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
7.8,2022-09-12,BEANR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.25,2022-09-12,BGVAR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.6,2022-09-12,BRPGU,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
11.6,2022-09-12,BRSNT,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2,2022-09-12,CACAL,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.5,2022-09-12,CARGI,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
0.6,2022-09-12,CNHUA,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
3.8,2022-09-12,CNNTG,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.4,2022-09-12,CNOCQ,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
3.75,2022-09-12,CNZSH,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2,2022-09-12,CWWTD,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
3.2,2022-09-12,ESTRG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.4,2022-09-12,FRLEH,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
4.4,2022-09-12,FRLEH,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
0.8,2022-09-12,GRPIE,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
4.6,2022-09-12,HKHKG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
4.4,2022-09-12,HTPAP,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
21.8,2022-09-12,ILHFA,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.4,2022-09-12,INAHM,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
12.6,2022-09-12,INCCU,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.6,2022-09-12,INFBD,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.2,2022-09-12,INGHR,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.75,2022-09-12,INHYX,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.2,2022-09-12,INHZA,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.6,2022-09-12,INITG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
21,2022-09-12,INNHV,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.3333333333333333,2022-09-12,INPAV,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.6,2022-09-12,ITLVN,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.2,2022-09-12,JPKBE,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.2,2022-09-12,JPOSA,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.25,2022-09-12,JPYOK,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.75,2022-09-12,KHPKH,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
5.6,2022-09-12,LKCMB,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.3333333333333333,2022-09-12,MXMEX,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.4,2022-09-12,MXMTY,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.2,2022-09-12,MYPSG,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
3.8,2022-09-12,MYPSG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1,2022-09-12,PYASU,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
8.4,2022-09-12,TWKSG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
15.2,2022-09-12,TZDAR,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
21.2,2022-09-12,USBAL,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1,2022-09-12,USCLT,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.4,2022-09-12,USCVG,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
28.8,2022-09-12,USIAH,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1.8,2022-09-12,USILM,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
11,2022-09-12,USMOB,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
12.8,2022-09-12,USORF,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
0.6,2022-09-12,USSTL,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
1,2022-09-12,USWOR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
5.4,2022-09-12,UYMVD,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2.4,2022-09-12,VEGUT,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
27.6,2022-09-12,VNHAI,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
3.6,2022-09-12,ZAJNB,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:balancing:zim,OPERATIONS,1665467670.407
2,2022-09-18,ALDRR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
5,2022-09-18,BDCGP,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,BDDAC,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,BEANR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,BGVAR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,BRPGU,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,BRSNT,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,CACAL,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,CARGI,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,CNHUA,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
5,2022-09-18,CNNTG,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
2,2022-09-18,CNOCQ,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,CNZSH,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,CRSAN,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,CWWTD,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,ESTRG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,FRLEH,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,FRLEH,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,GRPIE,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
3,2022-09-18,HKHKG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,HTPAP,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
15,2022-09-18,ILHFA,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
3,2022-09-18,INAHM,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,INAKV,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
3,2022-09-18,INCCU,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
2,2022-09-18,INFBD,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
2,2022-09-18,INGHR,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,INHYX,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
8,2022-09-18,INHZA,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,INITG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,INJOH,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,INNAG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
38,2022-09-18,INNHV,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,INPAV,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,ITLVN,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,ITMXP,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,JPKBE,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,JPOSA,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,JPYOK,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,KHPKH,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
8,2022-09-18,LKCMB,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,MXMEX,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,MXMTY,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,MYPSG,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,MYPSG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,PYASU,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,TWKSG,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
14,2022-09-18,TZDAR,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
3,2022-09-18,USBAL,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,USCLT,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,USCVG,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,USIAH,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,USILM,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,USMOB,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
2,2022-09-18,USORF,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,USSTL,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
1,2022-09-18,USWOR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
4,2022-09-18,UYMVD,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
4,2022-09-18,VEGUT,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
25,2022-09-18,VNHAI,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
0,2022-09-18,ZAJNB,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
2,2022-09-19,ALDRR,DV20,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
13,2022-09-19,BDCGP,HC40,OPERATIONS:worst_models,logistic-cycle,first demo,VENDOR:logistic-cycle:zim,OPERATIONS,1665467670.407
